 num     #instances         #bytes  class name (module)
 252:             1             16  java.util.WeakHashMap$KeySet (java.base@21.0.7)
 253:             1             16  jdk.internal.misc.ScopedMemoryAccess (java.base@21.0.7)
 254:             1             16  jdk.internal.misc.Unsafe (java.base@21.0.7)
 255:             1             16  jdk.internal.module.ArchivedBootLayer (java.base@21.0.7)
 256:             1             16  jdk.internal.module.ModuleLoaderMap$Mapper (java.base@21.0.7)
 257:             1             16  jdk.internal.module.ModulePatcher (java.base@21.0.7)
 258:             1             16  jdk.internal.module.ModuleTarget (java.base@21.0.7)
 259:             1             16  jdk.internal.reflect.ReflectionFactory (java.base@21.0.7)
 260:             1             16  jdk.internal.util.Preconditions$1 (java.base@21.0.7)
 261:             1             16  jdk.internal.util.Preconditions$2 (java.base@21.0.7)
 262:             1             16  jdk.internal.util.Preconditions$3 (java.base@21.0.7)
 263:             1             16  jdk.internal.util.ReferencedKeySet (java.base@21.0.7)
 264:             1             16  sun.net.www.protocol.file.Handler (java.base@21.0.7)
 265:             1             16  sun.net.www.protocol.jar.Handler (java.base@21.0.7)
Total         76488        2727096
